replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,exploration/env_infos/final/distance_to_goal Mean,exploration/env_infos/final/distance_to_goal Std,exploration/env_infos/final/distance_to_goal Max,exploration/env_infos/final/distance_to_goal Min,exploration/env_infos/initial/distance_to_goal Mean,exploration/env_infos/initial/distance_to_goal Std,exploration/env_infos/initial/distance_to_goal Max,exploration/env_infos/initial/distance_to_goal Min,exploration/env_infos/distance_to_goal Mean,exploration/env_infos/distance_to_goal Std,exploration/env_infos/distance_to_goal Max,exploration/env_infos/distance_to_goal Min,exploration/env_infos/final/standoff_error Mean,exploration/env_infos/final/standoff_error Std,exploration/env_infos/final/standoff_error Max,exploration/env_infos/final/standoff_error Min,exploration/env_infos/initial/standoff_error Mean,exploration/env_infos/initial/standoff_error Std,exploration/env_infos/initial/standoff_error Max,exploration/env_infos/initial/standoff_error Min,exploration/env_infos/standoff_error Mean,exploration/env_infos/standoff_error Std,exploration/env_infos/standoff_error Max,exploration/env_infos/standoff_error Min,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Min,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Min,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Min,exploration/env_infos/final/target_xyz Mean,exploration/env_infos/final/target_xyz Std,exploration/env_infos/final/target_xyz Max,exploration/env_infos/final/target_xyz Min,exploration/env_infos/initial/target_xyz Mean,exploration/env_infos/initial/target_xyz Std,exploration/env_infos/initial/target_xyz Max,exploration/env_infos/initial/target_xyz Min,exploration/env_infos/target_xyz Mean,exploration/env_infos/target_xyz Std,exploration/env_infos/target_xyz Max,exploration/env_infos/target_xyz Min,exploration/env_infos/final/target_key_id Mean,exploration/env_infos/final/target_key_id Std,exploration/env_infos/final/target_key_id Max,exploration/env_infos/final/target_key_id Min,exploration/env_infos/initial/target_key_id Mean,exploration/env_infos/initial/target_key_id Std,exploration/env_infos/initial/target_key_id Max,exploration/env_infos/initial/target_key_id Min,exploration/env_infos/target_key_id Mean,exploration/env_infos/target_key_id Std,exploration/env_infos/target_key_id Max,exploration/env_infos/target_key_id Min,exploration/env_infos/final/eef_xyz Mean,exploration/env_infos/final/eef_xyz Std,exploration/env_infos/final/eef_xyz Max,exploration/env_infos/final/eef_xyz Min,exploration/env_infos/initial/eef_xyz Mean,exploration/env_infos/initial/eef_xyz Std,exploration/env_infos/initial/eef_xyz Max,exploration/env_infos/initial/eef_xyz Min,exploration/env_infos/eef_xyz Mean,exploration/env_infos/eef_xyz Std,exploration/env_infos/eef_xyz Max,exploration/env_infos/eef_xyz Min,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/distance_to_goal Mean,evaluation/env_infos/final/distance_to_goal Std,evaluation/env_infos/final/distance_to_goal Max,evaluation/env_infos/final/distance_to_goal Min,evaluation/env_infos/initial/distance_to_goal Mean,evaluation/env_infos/initial/distance_to_goal Std,evaluation/env_infos/initial/distance_to_goal Max,evaluation/env_infos/initial/distance_to_goal Min,evaluation/env_infos/distance_to_goal Mean,evaluation/env_infos/distance_to_goal Std,evaluation/env_infos/distance_to_goal Max,evaluation/env_infos/distance_to_goal Min,evaluation/env_infos/final/standoff_error Mean,evaluation/env_infos/final/standoff_error Std,evaluation/env_infos/final/standoff_error Max,evaluation/env_infos/final/standoff_error Min,evaluation/env_infos/initial/standoff_error Mean,evaluation/env_infos/initial/standoff_error Std,evaluation/env_infos/initial/standoff_error Max,evaluation/env_infos/initial/standoff_error Min,evaluation/env_infos/standoff_error Mean,evaluation/env_infos/standoff_error Std,evaluation/env_infos/standoff_error Max,evaluation/env_infos/standoff_error Min,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Min,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Min,evaluation/env_infos/final/target_xyz Mean,evaluation/env_infos/final/target_xyz Std,evaluation/env_infos/final/target_xyz Max,evaluation/env_infos/final/target_xyz Min,evaluation/env_infos/initial/target_xyz Mean,evaluation/env_infos/initial/target_xyz Std,evaluation/env_infos/initial/target_xyz Max,evaluation/env_infos/initial/target_xyz Min,evaluation/env_infos/target_xyz Mean,evaluation/env_infos/target_xyz Std,evaluation/env_infos/target_xyz Max,evaluation/env_infos/target_xyz Min,evaluation/env_infos/final/target_key_id Mean,evaluation/env_infos/final/target_key_id Std,evaluation/env_infos/final/target_key_id Max,evaluation/env_infos/final/target_key_id Min,evaluation/env_infos/initial/target_key_id Mean,evaluation/env_infos/initial/target_key_id Std,evaluation/env_infos/initial/target_key_id Max,evaluation/env_infos/initial/target_key_id Min,evaluation/env_infos/target_key_id Mean,evaluation/env_infos/target_key_id Std,evaluation/env_infos/target_key_id Max,evaluation/env_infos/target_key_id Min,evaluation/env_infos/final/eef_xyz Mean,evaluation/env_infos/final/eef_xyz Std,evaluation/env_infos/final/eef_xyz Max,evaluation/env_infos/final/eef_xyz Min,evaluation/env_infos/initial/eef_xyz Mean,evaluation/env_infos/initial/eef_xyz Std,evaluation/env_infos/initial/eef_xyz Max,evaluation/env_infos/initial/eef_xyz Min,evaluation/env_infos/eef_xyz Mean,evaluation/env_infos/eef_xyz Std,evaluation/env_infos/eef_xyz Max,evaluation/env_infos/eef_xyz Min,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
240,4.237569,4.2310214,1.095749,0.0052083977,0.00072419865,0.006721998,0.0038822857,0.0016971091,0.0005161579,0.0029157682,0.0004384321,-0.93263793,1.8325706,4.0520463,-13.865433,1.0974512,2.0186899,12.216543,-3.2387462,0.0028647184,0.7113197,3.4439268,-4.1432366,-1.3344458,0.2920169,-0.011666045,-2.3703992,0.9997000694274902,-0.0,240,4,60.0,0.0,60,60,-0.23147152022023995,0.03813696047498712,-0.1928737559914589,-0.38616039037704464,-13.888291213214396,0.04215823948383424,-13.846132973730562,-13.93044945269823,0.0044230414,0.47648185,0.99982506,-0.99999595,2,-13.888291213214396,0.2474634051322937,0.001673385500907898,0.2491367906332016,0.2457900196313858,0.38778987526893616,0.014269500970840454,0.4020593762397766,0.3735203742980957,0.2537902034819126,0.03665963303018165,0.4020593762397766,0.21632686257362366,0.2174634051322937,0.001673385500907898,0.2191367906332016,0.2157900196313858,0.35778987526893613,0.014269500970840454,0.3720593762397766,0.3435203742980957,0.22379020348191267,0.036659633030181646,0.3720593762397766,0.18632686257362366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38696304,0.49064338,1.0723633,-0.07029088,0.4888761,0.49550527,1.1918672,0.008142546,0.39593998,0.48801076,1.1918672,-0.079003505,120,2,60.0,0.0,60,60,-0.2222672937003275,0.03634588771280154,-0.19754782646894456,-0.3826296401023864,-13.336037622019646,0.19298913612961766,-13.143048485890027,-13.529026758149262,-0.0005037263,0.2930728,0.99868804,-0.99961144,2,-13.336037622019646,0.24507438391447067,0.0009167715907096863,0.24599115550518036,0.244157612323761,0.37487417459487915,0.023491710424423218,0.39836588501930237,0.35138246417045593,0.24824425627787908,0.03369622122835602,0.39836588501930237,0.22336767613887787,0.21507438391447067,0.0009167715907096863,0.21599115550518036,0.214157612323761,0.3448741745948791,0.023491710424423218,0.36836588501930234,0.3213824641704559,0.21824425627787913,0.033696221228356006,0.36836588501930234,0.19336767613887787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39012146,0.4863348,1.0649335,-0.06932342,0.4916221,0.47630113,1.1730665,0.037768964,0.39534208,0.4843468,1.1730665,-0.06978793,0.0004162649856880307,5.150661947962362,4.184184256999288,0.003721226006746292,0.00015809497563168406,2.2190251480205916,11.558166938950308,59.131137330958154,0
360,0.24472998,0.23684265,-3.7283688,1.7932872,0.050964158,1.9211478,1.6673659,1.7395966,0.048968688,1.8655211,1.6262252,1.6954386,0.48487937,2.864994,-0.22390153,-1.9830694,0.55275023,1.4768772,-4.128634,-0.073306985,0.2419781,0.74680454,-1.4742868,-0.16093464,0.10214093,0.28272352,-0.5935752,0.9675249457359314,-0.16291582584381104,360,6,60.0,0.0,60,60,-0.2569819510256251,0.08402076809968023,-0.06432710468769073,-0.38777797818183896,-15.418917061537497,2.805013013333083,-12.613904048204414,-18.22393007487058,-0.0117979655,0.6016786,0.9870169,-0.9900006,2,-15.418917061537497,0.29282668232917786,0.11112192273139954,0.4039486050605774,0.18170475959777832,0.39007584750652313,0.015437766909599304,0.40551361441612244,0.37463808059692383,0.27691651731729505,0.08432298531555193,0.40551361441612244,0.08294548094272614,0.26282668232917783,0.11112192273139952,0.37394860506057737,0.15170475959777832,0.3600758475065231,0.015437766909599304,0.3755136144161224,0.3446380805969238,0.24691651731729505,0.08432298531555193,0.3755136144161224,0.052945480942726136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40110195,0.5165238,1.2257859,-0.0822107,0.50014025,0.47866738,1.187979,0.046566892,0.41438392,0.4802296,1.2257859,-0.108499065,240,4,60.0,0.0,60,60,-0.29156247521180195,0.018462549561181183,-0.2754381088539958,-0.3691431739926338,-17.493748512708116,0.12564417228801084,-17.368104340420103,-17.619392684996125,0.0013065989,0.04830371,0.14512277,-0.45637444,2,-17.493748512708116,0.31062479317188263,0.0012152940034866333,0.31184008717536926,0.309409499168396,0.37813982367515564,0.01738607883453369,0.39552590250968933,0.36075374484062195,0.32109700987736384,0.017862139601792653,0.39552590250968933,0.3050723671913147,0.2806247931718826,0.0012152940034866333,0.28184008717536924,0.27940949916839597,0.3481398236751556,0.01738607883453369,0.3655259025096893,0.3307537448406219,0.2910970098773637,0.01786213960179265,0.3655259025096893,0.27507236719131467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43587315,0.49131194,1.1132922,-0.04126253,0.49053612,0.48341304,1.1763898,0.03951552,0.44428182,0.49020135,1.1763898,-0.04166453,0.0004525239928625524,4.221746447030455,3.771327933995053,0.0057727969833649695,9.348202729597688e-05,1.9116392180440016,9.911032402073033,73.38255236909026,1
480,0.21087536,0.21165872,-4.110183,2.0846004,0.06669802,2.2727451,1.9263887,2.087774,0.06717302,2.2708158,1.9291768,2.0991635,0.46328384,3.572613,-0.22821257,-2.0226645,0.38019377,-0.4628315,-3.8294845,-0.024272533,0.14063743,0.7352252,-0.6880559,-0.14041689,0.05575331,0.10907601,-0.2796381,0.9376792311668396,-0.32163870334625244,480,8,60.0,0.0,60,60,-0.27845605347429714,0.08893911763143968,-0.10891907632350922,-0.4651395177841186,-16.707363208457828,2.9900222427397996,-13.717340965718027,-19.697385451197626,-0.033001475,0.5918372,0.9963101,-0.98815536,2,-16.707363208457828,0.23619022965431213,0.08982273936271667,0.3260129690170288,0.14636749029159546,0.3942333906888962,0.0033248215913772583,0.39755821228027344,0.3909085690975189,0.2985602201273044,0.08892268101776658,0.4834887981414795,0.12796761095523834,0.2061902296543121,0.08982273936271666,0.2960129690170288,0.11636749029159546,0.36423339068889615,0.0033248215913772583,0.3675582122802734,0.3609085690975189,0.26856022012730435,0.08892268101776658,0.45348879814147947,0.09796761095523834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41640472,0.4327986,1.0415206,-0.05341619,0.49594522,0.4902349,1.192696,-0.0001864439,0.4367407,0.44972584,1.2834678,-0.09109563,360,6,60.0,0.0,60,60,-0.332588420361358,0.016726158025916017,-0.3076387426629662,-0.3723195699602365,-19.95530522168148,0.06351715747732811,-19.891788064204153,-20.01882237915881,0.0035267188,0.0164788,0.036286697,-0.07107715,2,-19.95530522168148,0.3426976650953293,0.005173519253730774,0.34787118434906006,0.3375241458415985,0.3877212107181549,0.01416882872581482,0.4018900394439697,0.3735523819923401,0.36233122398455936,0.01662597494188506,0.4018900394439697,0.3375241458415985,0.31269766509532926,0.005173519253730774,0.31787118434906003,0.3075241458415985,0.3577212107181549,0.01416882872581482,0.3718900394439697,0.34355238199234006,0.3323312239845592,0.01662597494188506,0.3718900394439697,0.3075241458415985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45222127,0.5011953,1.1501284,-0.040639684,0.49185148,0.49013996,1.1873724,0.010641844,0.46797392,0.49935502,1.1873724,-0.040639684,0.0007144050323404372,3.765035860007629,3.3988589249784127,0.005132634018082172,0.00016060902271419764,1.9714714619913138,9.141373895050492,86.98698432912352,2
600,0.22707102,0.22766449,-4.491951,2.4853034,0.11406085,2.900449,2.2108052,2.4836779,0.11333029,2.9096978,2.2147326,2.4591188,0.45037833,3.1649575,-0.55388445,-2.000296,0.38593578,-0.29329562,-3.3286848,-0.02461733,0.14733632,0.8770216,-0.64823943,-0.13490467,0.06108286,0.07878938,-0.4363267,0.9092795252799988,-0.47401127219200134,600,10,60.0,0.0,60,60,-0.4860232567290465,0.16805866870734085,-0.2965782243013382,-0.840217410326004,-29.161395403742787,0.14292245656252156,-29.018472947180268,-29.30431786030531,-0.028288074,0.5739543,0.99563867,-0.99507076,2,-29.161395403742787,0.6948990225791931,0.12038147449493408,0.8152804970741272,0.574517548084259,0.40099120140075684,0.008046746253967285,0.4090379476547241,0.39294445514678955,0.5065789413948854,0.16830854704560647,0.8604155778884888,0.316921591758728,0.6648990225791931,0.12038147449493408,0.7852804970741272,0.544517548084259,0.3709912014007568,0.008046746253967285,0.3790379476547241,0.3629444551467895,0.47657894139488527,0.16830854704560647,0.8304155778884887,0.286921591758728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47575107,0.7341866,1.6287289,-0.058235645,0.5059726,0.4828813,1.1863879,0.061858885,0.49962014,0.5642922,1.6702217,-0.18156154,480,8,60.0,0.0,60,60,-0.3604549323963389,0.05845582031277851,-0.23585003852844239,-0.4250759141147136,-21.627295943780336,2.0646809547231513,-19.562614989057185,-23.691976898503487,-0.006812886,0.04393287,0.122171655,-0.17235959,2,-21.627295943780336,0.39564187824726105,0.04271598160266876,0.4383578598499298,0.3529258966445923,0.37881864607334137,0.024219319224357605,0.403037965297699,0.35459932684898376,0.3897899826367696,0.05863118049141243,0.4543856680393219,0.2642644941806793,0.365641878247261,0.04271598160266876,0.4083578598499298,0.32292589664459226,0.34881864607334134,0.024219319224357605,0.37303796529769895,0.32459932684898374,0.3597899826367695,0.05863118049141242,0.4243856680393219,0.23426449418067932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.29933333,0.3788063,0.828,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4827434,0.51532716,1.2428772,0.008302209,0.49757275,0.4697536,1.1780987,0.054116856,0.48881328,0.49676743,1.2700951,0.008302209,0.0004216079832985997,3.983387383981608,3.4605729919858277,0.003208698006346822,8.940004045143723e-05,1.968498875037767,9.4161789570353,99.66710381914163,3
